NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
600.0,0.35,0.3,5.0,540.0,500.0,0.3,0.8,4.199999999999999,255.2307550004416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.3,0.1,4.5,120.0,0.0,1.0,0.2,2.4000000000000004,119.4296755999379,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.4,0.3,2.0,480.0,3500.0,0.2,0.4,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.2,0.5,4.0,240.0,1500.0,0.3,0.4,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.05,0.35,0.5,240.0,3000.0,0.3,0.2,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.25,0.4,0.0,180.0,4500.0,0.9,0.1,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.45,0.5,4.5,60.0,2500.0,0.3,0.7,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.1,0.2,3.0,360.0,3500.0,0.7,0.7,3.6,260.1847462608595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.5,0.4,2.5,360.0,4500.0,0.8,0.4,1.2000000000000002,81.72415061694353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.3,0.45,4.5,360.0,3500.0,0.6,0.2,4.800000000000001,360.5999999982055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.1,0.15,1.5,540.0,500.0,0.4,0.3,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.5,0.2,0.5,240.0,4500.0,0.3,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.25,0.05,4.0,60.0,2000.0,0.9,0.1,0.6000000000000001,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.15,0.35,1.0,240.0,0.0,0.2,1.0,1.7999999999999998,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.45,0.0,2.0,480.0,0.0,0.3,0.9,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.25,0.1,2.5,540.0,2500.0,1.0,0.6,4.800000000000001,336.34919652837254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.0,0.4,5.0,480.0,1000.0,0.8,0.1,2.4000000000000004,208.5094838099053,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.35,0.5,5.0,360.0,500.0,0.9,1.0,2.4000000000000004,216.50019928046345,1,22.704916,85.96476,43.383755,47.92843,51.6484,35.4564,11.564402,42.157944,117.27072,22.060486,61.19591,27.052895,45.92587,91.945274,43.641808,70.33996,92.06245,44.078167,43.766396,74.22531,19.280035,76.45893,59.43067,34.495647,40.31442,52.17416,26.145744
2100.0,0.4,0.35,4.5,600.0,0.0,0.9,1.0,3.0,256.5010687854634,1,21.78647,88.21303,39.13668,47.97177,53.507442,35.07075,11.558179,42.164494,117.22213,22.15441,60.838837,30.790655,46.345066,85.81976,42.58765,69.69209,87.51461,45.303596,43.361057,74.46229,18.887716,83.724434,59.207222,33.490646,42.503735,52.13259,25.940271
