NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Modelled Final Protein,Round #
1500.0,2.0,420.0,1000.0,6.0,292.4388164732534,1
300.0,3.5,600.0,4500.0,6.0,418.71962090260695,1
300.0,1.5,600.0,4500.0,4.199999999999999,168.6329333792971,1
1200.0,4.0,600.0,1500.0,1.2000000000000002,89.5742340573811,1
1200.0,0.5,600.0,1500.0,4.199999999999999,67.31780081991538,1
300.0,4.5,420.0,2000.0,0.6000000000000001,47.25050161825729,1
2400.0,4.5,540.0,1500.0,2.4000000000000004,191.5135947777412,1
3000.0,2.0,600.0,1500.0,1.7999999999999998,89.19445649000522,1
3000.0,4.0,540.0,1000.0,0.6000000000000001,45.17643612631039,1
2400.0,2.0,540.0,1500.0,6.0,295.8667969869415,1
3000.0,3.0,540.0,1000.0,1.2000000000000002,76.96145524230039,1
2400.0,4.0,360.0,500.0,5.4,359.99999999750725,1
600.0,1.0,240.0,500.0,4.800000000000001,131.42890227455976,1
300.0,5.0,540.0,4000.0,1.2000000000000002,100.54162823822016,1
2400.0,3.0,480.0,1000.0,0.6000000000000001,38.38775071488169,1
300.0,1.5,540.0,4000.0,4.199999999999999,168.3996489359519,1
2100.0,4.5,540.0,1500.0,2.4000000000000004,191.2283806786469,1
3000.0,1.5,600.0,1500.0,6.0,241.42092106390777,2
3000.0,4.0,480.0,500.0,4.800000000000001,359.5869865599716,2
3000.0,1.5,480.0,500.0,1.2000000000000002,48.24484644748805,2
300.0,4.0,600.0,5000.0,3.0,225.53320853189828,2
3000.0,5.0,600.0,1000.0,1.7999999999999998,151.1974434191438,2
3000.0,1.5,360.0,500.0,6.0,240.37830966948616,2
3000.0,4.0,300.0,500.0,1.2000000000000002,90.1292060389788,2
3000.0,5.0,240.0,500.0,6.0,239.9999999999696,2
3000.0,4.5,540.0,1000.0,4.199999999999999,334.99013133728096,2
3000.0,2.0,540.0,1000.0,5.4,266.55220865041787,2
3000.0,4.0,120.0,500.0,3.6,120.00000000497565,2
3000.0,3.5,120.0,500.0,1.2000000000000002,83.88187346633536,2
3000.0,1.5,120.0,500.0,0.6000000000000001,24.13101067041269,2
3000.0,3.0,60.0,500.0,2.4000000000000004,59.99999999911115,2
300.0,1.5,480.0,5000.0,1.2000000000000002,48.31219266552103,2
600.0,5.0,600.0,5000.0,3.0,252.29530303113904,2
3000.0,2.0,360.0,1500.0,6.0,296.5625280122149,2
3000.0,3.5,360.0,1500.0,1.7999999999999998,126.2707347999258,2
600.0,0.5,600.0,5000.0,6.0,96.97496664295312,2
300.0,3.0,420.0,5000.0,2.4000000000000004,153.75201944105885,2
2700.0,3.0,600.0,500.0,0.6000000000000001,38.3489407444779,2
3000.0,1.0,480.0,1000.0,6.0,175.63092035818678,2
3000.0,2.0,480.0,1000.0,4.199999999999999,207.47571318979809,2
3000.0,4.5,480.0,1000.0,0.6000000000000001,47.951533034824166,2
3000.0,5.0,300.0,1500.0,1.7999999999999998,151.4492031153138,2
3000.0,2.0,300.0,1500.0,0.6000000000000001,29.750304886284912,2
3000.0,4.5,480.0,2000.0,1.7999999999999998,144.19374361582553,2
600.0,2.0,480.0,5000.0,1.2000000000000002,59.46857088611976,2
3000.0,1.0,420.0,1000.0,2.4000000000000004,70.42689959399677,2
300.0,5.0,300.0,5000.0,4.800000000000001,299.99999999910585,2
3000.0,2.5,420.0,1000.0,0.6000000000000001,34.41921202412476,2
3000.0,1.5,420.0,1000.0,0.6000000000000001,24.182072124483323,2
300.0,0.5,300.0,5000.0,2.4000000000000004,38.80306265688918,2
3000.0,4.0,420.0,2000.0,6.0,419.9999996674977,2
3000.0,1.5,120.0,1500.0,6.0,119.99999998379438,2
600.0,5.0,420.0,5000.0,4.199999999999999,353.0441354325709,2
2700.0,3.5,480.0,500.0,2.4000000000000004,167.3407894910479,2
2700.0,1.5,480.0,500.0,3.0,120.2514222996286,2
2700.0,0.5,480.0,500.0,4.800000000000001,77.23956645998797,2
2700.0,4.0,600.0,1000.0,3.0,225.2766527280323,2
2700.0,1.0,600.0,1000.0,4.800000000000001,140.44041404737948,2
3000.0,1.5,300.0,1000.0,5.4,216.9391934609881,2
3000.0,4.0,300.0,1000.0,4.800000000000001,299.9999999995868,2
3000.0,2.0,240.0,1000.0,3.0,148.29414245431207,2
3000.0,0.5,240.0,1000.0,1.2000000000000002,19.436002491949846,2
