Experiment,Reaction,Mg-glutamate (mM),K-glutamate (mM),DTT (mM),Amino acids (mM),HEPES (pH),ATP (mM),GTP (mM),CTP (mM),UTP (mM),tRNA (mg/mL),CoA (mM),NAD (mM),cAMP (mM),Folinic acid (mM),Spermidine (mM),3-PGA (mM),DNA (ug/mL),PEG-8000 (mg/mL),Protease inhibitor (mM),Cell-free protein (mg/mL),deltaFEU,Time to peak (min),Max rate (FEU/min),Rate lag (min),Inflection (min)
DSD2,26,11,240,4.5,70,9,1.5,1.5,0.9,1.7,0.15,0.065,0.335,1.505,0.05,0.1,30,60,20,0,2.225,21.64285714,704,0.85,552,15
DSD2,27,11,120,4.5,70,8,1.5,1.5,1.7,0.9,0.05,0.195,0.335,1.505,0.01,0.1,30,60,40,0,6.675,70.1904373,752,0.875,696,820
DSD2,28,8,120,1.5,30,8,1.5,0.5,0.9,0.9,0.05,0.065,0.335,0.755,0.01,0.1,30,60,20,0,2.225,2.214285714,8,0.725,572,170
DSD2,29,5,120,4.5,30,9,1.5,0.5,1.7,1.7,0.05,0.065,0.665,1.505,0.01,1.1,30,60,60,0,6.675,0.071428571,84,1.175,72,810
DSD2,30,11,240,1.5,30,9,1.5,1.5,0.9,0.9,0.05,0.065,0.5,1.505,0.05,1.1,60,60,60,0,6.675,25.87142857,524,0.888888889,4,20
DSD2,31,5,240,4.5,30,9,1.5,1.5,1.7,1.7,0.15,0.13,0.335,0.755,0.01,0.1,60,60,60,0,2.225,3.142857143,164,0.725,156,115
DSD2,32,11,120,3,70,9,2.5,1.5,0.9,1.7,0.05,0.195,0.665,0.755,0.01,1.1,60,60,20,0,2.225,22.57142857,756,0.85,420,180
DSD2,33,5,120,4.5,30,8,2.5,1.5,0.9,0.9,0.15,0.195,0.335,1.505,0.01,1.1,60,60,60,0,2.225,0,0,0.675,448,820
DSD2,34,11,240,1.5,30,8,1.5,1,1.7,1.7,0.15,0.195,0.335,1.505,0.01,1.1,60,60,20,0,6.675,473.7142357,756,2.875,100,215
DSD2,35,11,120,1.5,70,8,2.5,0.5,0.9,0.9,0.05,0.13,0.665,1.505,0.05,1.1,30,60,20,0,6.675,124.5570929,716,1.625,148,330
DSD2,36,11,120,1.5,50,9,2.5,1.5,1.7,0.9,0.15,0.065,0.665,1.505,0.01,0.1,60,60,20,0,6.675,20.75714286,324,1.025,160,15
DSD2,37,11,240,1.5,70,8,1.5,0.5,0.9,1.3,0.15,0.195,0.665,1.505,0.01,1.1,30,60,60,0,2.225,4.357142857,516,0.725,168,10
DSD2,38,5,120,1.5,30,8,2.5,0.5,1.7,0.9,0.05,0.195,0.665,0.755,0.01,1.1,60,60,60,0,6.675,3.857142857,756,0.75,24,5
DSD2,39,11,240,4.5,70,8,2.5,0.5,1.7,1.7,0.05,0.065,0.665,1.505,0.01,0.1,60,60,60,0,2.225,8.271428571,692,0.775,552,110
DSD2,40,5,120,1.5,70,8,2.5,0.5,0.9,1.7,0.15,0.065,0.335,1.505,0.05,0.1,60,60,60,0,6.675,0.492063492,4,0.825,552,5
DSD2,41,11,240,1.5,70,8,2.5,1.5,0.9,0.9,0.15,0.195,0.335,0.755,0.05,0.1,60,60,20,0,2.225,7.485714286,740,1.125,276,15
DSD2,42,5,240,4.5,30,8,2.5,1.5,0.9,1.7,0.05,0.195,0.665,1.505,0.05,0.6,30,60,20,0,6.675,0.5,88,0.675,304,15
DSD2,43,5,120,4.5,70,8,2.5,0.5,1.7,1.7,0.15,0.195,0.5,0.755,0.01,0.1,30,60,20,0,2.225,4.242857143,528,0.825,396,340
DSD2,44,5,120,4.5,70,9,2.5,1,0.9,0.9,0.05,0.065,0.665,0.755,0.05,0.1,30,60,60,0,2.225,10.72857143,288,0.95,280,5
DSD2,45,5,240,1.5,30,9,2.5,0.5,0.9,1.7,0.15,0.065,0.665,0.755,0.05,1.1,60,60,40,0,2.225,0,0,0.8,84,5
DSD2,46,8,180,3,50,8.5,2,1,1.3,1.3,0.1,0.13,0.5,1.13,0.03,0.6,45,60,40,0,4.45,170.9428071,632,2.34999875,200,220
DSD2,47,5,240,1.5,70,8,2.5,1.5,1.7,1.7,0.1,0.065,0.335,0.755,0.01,1.1,30,60,20,0,6.675,76.47137857,488,1.75,112,20
DSD2,48,11,240,4.5,30,9,1.5,1.5,1.7,0.9,0.05,0.195,0.665,0.755,0.01,1.1,30,60,20,0,2.225,37.74603175,752,1.5,416,15
DSD2,49,5,120,1.5,70,9,1.5,0.5,1.7,1.7,0.05,0.195,0.335,1.505,0.05,1.1,60,60,20,0,2.225,5.657142857,736,0.95,560,240
